"","URL_of_Anchor","Request_URL","URL_Length","having_At_Symbol","Prefix_Suffix","having_Sub_Domain","having_IP_address","Result"
"2037",-1,-1,-1,1,-1,-1,1,-1
"2040",0,1,-1,1,-1,-1,1,1
"2046",1,1,-1,1,1,1,1,1
"2048",0,1,-1,1,-1,0,1,1
"2052",1,-1,-1,1,1,-1,1,1
"2054",1,1,-1,1,1,0,1,1
"2061",-1,1,-1,1,-1,-1,1,-1
"2063",0,1,-1,1,-1,-1,1,1
"2064",-1,1,1,1,-1,-1,1,-1
"2066",-1,1,-1,1,-1,0,1,-1
"2069",0,1,-1,1,-1,1,1,1
"2070",0,1,-1,1,1,-1,1,1
"2072",1,1,-1,1,-1,-1,1,1
"2073",1,-1,-1,-1,-1,1,1,1
"2075",0,1,-1,1,-1,1,1,1
"2076",-1,-1,-1,1,-1,0,1,-1
"2084",-1,-1,-1,1,-1,-1,1,-1
"2095",1,1,-1,1,-1,-1,1,-1
"2098",0,-1,-1,1,-1,1,1,1
"2106",-1,-1,-1,1,-1,-1,1,-1
"2107",0,1,-1,1,-1,-1,1,-1
"2116",-1,1,-1,1,-1,0,1,-1
"2118",1,1,-1,1,-1,0,1,1
"2120",1,1,-1,1,-1,1,1,1
"2122",0,-1,-1,1,-1,-1,1,-1
"2123",0,1,-1,1,1,0,1,1
"2124",0,-1,-1,1,-1,-1,1,-1
"2126",-1,-1,-1,1,0,-1,1,-1
"2128",0,-1,-1,1,-1,1,1,-1
"2131",-1,1,-1,1,-1,0,-1,-1
"2132",-1,-1,-1,1,-1,-1,1,-1
"2133",0,1,-1,1,-1,0,1,1
"2135",1,1,-1,1,1,1,1,1
"2141",-1,1,1,1,-1,0,1,-1
"2148",-1,0,-1,1,-1,0,1,-1
"2154",0,-1,-1,1,-1,-1,1,-1
"2160",0,0,-1,1,-1,-1,1,-1
"2164",0,1,-1,1,-1,0,-1,1
"2165",0,1,1,1,-1,0,1,1
"2166",-1,-1,-1,1,-1,0,1,-1
"2167",1,-1,-1,1,1,0,1,1
"2168",0,-1,-1,1,-1,-1,1,-1
"2171",-1,-1,-1,1,-1,0,1,-1
"2172",1,-1,-1,-1,-1,-1,0,1
"2175",0,-1,-1,1,-1,0,1,-1
"2177",0,1,-1,1,-1,0,1,1
"2179",0,-1,-1,1,-1,-1,1,-1
"2181",-1,1,1,1,0,-1,1,-1
"2188",-1,1,-1,-1,-1,0,1,-1
"2189",0,1,-1,1,-1,-1,1,-1
"2191",1,1,-1,1,1,-1,-1,1
"2194",1,1,1,1,1,1,1,1
"2195",0,-1,-1,1,-1,-1,1,-1
"2197",0,1,1,1,1,1,-1,1
"2199",1,1,1,1,-1,1,1,1
"2202",-1,1,1,1,-1,0,1,-1
"2204",0,-1,-1,1,-1,0,1,-1
"2205",-1,-1,-1,1,-1,-1,1,-1
"2206",0,-1,-1,1,-1,-1,1,-1
"2208",0,1,-1,1,1,0,0,1
"2209",0,1,-1,1,-1,-1,1,1
"2217",0,1,-1,1,-1,0,1,-1
"2220",0,-1,-1,1,-1,-1,1,-1
"2224",0,-1,-1,1,-1,-1,1,-1
"2227",1,-1,-1,1,-1,-1,1,1
"2228",0,1,-1,1,-1,1,1,-1
"2229",1,1,-1,1,-1,1,1,1
"2233",0,1,-1,1,-1,-1,1,-1
"2236",-1,1,-1,1,-1,-1,1,-1
"2237",0,1,-1,1,-1,-1,1,-1
"2240",-1,-1,-1,1,-1,-1,1,-1
"2241",0,1,-1,1,-1,1,1,1
"2242",-1,1,-1,1,-1,0,1,-1
"2244",-1,1,-1,1,-1,-1,1,-1
"2247",-1,1,-1,1,-1,0,1,-1
"2248",1,-1,-1,1,-1,0,1,1
"2251",0,-1,-1,1,-1,-1,1,-1
"2252",-1,1,-1,1,-1,0,1,-1
"2253",0,1,-1,1,-1,0,1,1
"2254",1,-1,1,-1,1,1,1,1
"2259",-1,-1,-1,-1,-1,0,1,-1
"2262",0,-1,-1,1,-1,0,1,-1
"2266",-1,1,1,1,-1,-1,1,-1
"2270",0,1,-1,1,-1,1,1,1
"2271",-1,1,-1,1,-1,0,1,-1
"2279",1,-1,-1,-1,1,-1,1,1
"2282",-1,1,-1,1,-1,0,1,-1
"2283",-1,-1,-1,-1,-1,0,1,-1
"2284",-1,1,-1,-1,-1,-1,1,-1
"2285",1,1,1,-1,-1,-1,1,1
"2286",1,-1,-1,1,-1,-1,1,1
"2291",-1,0,-1,1,-1,-1,1,-1
"2300",1,1,-1,1,-1,1,1,1
"2303",1,1,-1,1,1,-1,1,1
"2304",0,1,1,-1,-1,1,1,1
"2306",-1,-1,-1,1,-1,0,1,-1
"2307",0,1,1,1,-1,0,1,1
"2313",1,1,-1,1,-1,-1,1,-1
"2318",0,1,-1,1,1,-1,1,1
"2322",-1,1,-1,1,-1,-1,1,-1
"2326",-1,-1,-1,1,-1,-1,1,-1
"2337",1,1,-1,1,-1,1,1,1
"2340",1,1,-1,1,-1,-1,1,1
"2341",1,1,-1,1,-1,0,1,1
"2342",0,-1,-1,1,-1,0,0,1
"2343",-1,-1,-1,1,-1,-1,1,-1
"2345",0,1,-1,1,-1,-1,1,-1
"2346",0,-1,-1,1,-1,1,1,1
"2347",1,1,-1,1,-1,-1,1,1
"2349",-1,-1,-1,1,-1,-1,1,-1
"2375",-1,1,1,1,-1,0,1,-1
"2377",-1,1,-1,1,-1,-1,1,-1
"2383",0,-1,-1,1,-1,1,1,1
"2385",0,1,-1,1,-1,0,1,1
"2386",-1,1,-1,1,-1,-1,1,-1
"2388",-1,-1,0,1,-1,0,1,-1
"2389",0,-1,-1,1,-1,-1,1,1
"2390",-1,1,-1,1,-1,-1,1,-1
"2395",-1,0,-1,1,-1,0,1,-1
"2397",0,1,-1,1,1,-1,-1,1
"2398",-1,-1,1,1,-1,-1,-1,-1
"2399",0,1,-1,1,-1,1,1,1
"2401",0,1,-1,1,-1,1,1,1
"2403",-1,1,-1,1,-1,0,1,-1
"2404",1,-1,-1,1,-1,1,1,1
"2406",-1,1,-1,1,-1,0,1,-1
"2409",-1,1,-1,1,-1,0,-1,-1
"2416",1,-1,-1,1,1,1,1,1
"2417",0,1,-1,1,-1,-1,1,1
"2420",0,1,-1,1,-1,-1,1,-1
"2424",-1,1,-1,0,-1,0,1,-1
"2431",-1,-1,-1,0,-1,-1,1,-1
"2434",0,1,1,1,1,1,1,1
"2438",0,-1,-1,1,-1,0,1,1
"2440",0,-1,-1,1,-1,-1,1,-1
"2441",-1,-1,-1,1,-1,0,1,-1
"2446",0,1,-1,1,-1,-1,1,1
"2447",0,-1,-1,1,1,1,1,1
"2448",-1,-1,-1,1,-1,0,1,-1
"2449",0,1,1,0,1,0,1,1
"2456",-1,-1,-1,-1,-1,0,1,-1
"2458",1,1,-1,1,-1,-1,1,1
"2460",0,-1,-1,1,-1,-1,1,1
"2462",-1,-1,-1,1,-1,1,1,-1
"2466",0,1,1,1,-1,-1,1,1
"2468",0,1,0,1,-1,1,1,1
"2471",-1,-1,-1,-1,-1,0,1,-1
"2476",0,-1,-1,1,-1,1,1,1
"2482",-1,-1,0,-1,-1,1,1,-1
"2497",1,-1,1,-1,-1,1,0,1
"2498",1,1,1,1,1,0,1,1
"2503",0,1,0,1,-1,-1,1,1
"2508",0,-1,-1,1,-1,-1,1,1
"2510",1,1,-1,1,-1,1,1,1
"2512",0,1,-1,1,-1,1,1,-1
"2513",0,1,-1,1,1,1,-1,1
"2517",-1,-1,-1,1,-1,1,1,-1
"2521",-1,-1,1,-1,-1,1,1,-1
"2523",1,1,-1,1,1,0,1,1
"2524",1,-1,-1,1,1,0,1,1
"2525",-1,1,-1,1,-1,1,1,-1
"2527",0,1,-1,1,0,-1,-1,-1
"2528",0,-1,-1,1,-1,-1,-1,1
"2529",1,-1,-1,1,-1,-1,1,-1
"2531",1,-1,-1,1,1,1,1,1
"2533",0,-1,-1,1,-1,0,1,1
"2538",-1,-1,-1,1,-1,-1,1,-1
"2540",0,1,-1,1,-1,1,1,1
"2541",0,-1,-1,1,-1,0,1,1
"2542",0,1,1,0,-1,0,1,1
"2543",-1,-1,1,1,-1,-1,1,-1
"2554",1,1,-1,1,-1,-1,1,1
"2563",0,1,-1,1,-1,0,1,1
"2568",1,1,-1,1,1,0,1,1
"2569",0,-1,-1,0,-1,-1,1,-1
"2578",0,-1,-1,1,-1,1,1,-1
"2579",0,1,1,-1,-1,0,1,1
"2582",1,1,1,1,1,0,1,1
"2585",0,-1,-1,1,-1,-1,1,1
"2597",0,1,-1,1,-1,1,1,1
"2601",-1,-1,-1,1,-1,0,-1,-1
"2606",0,-1,-1,-1,-1,-1,1,-1
"2609",0,-1,-1,1,1,-1,-1,1
"2610",0,1,-1,1,-1,-1,1,1
"2611",-1,-1,-1,1,-1,0,1,-1
"2612",0,-1,-1,1,1,-1,1,1
"2616",0,-1,-1,-1,-1,0,1,-1
"2619",1,1,1,1,1,-1,1,1
"2621",-1,1,1,-1,-1,0,1,-1
"2622",1,-1,-1,1,-1,0,1,1
"2630",1,1,1,1,-1,-1,1,1
"2631",0,-1,-1,1,-1,0,1,1
"2635",0,-1,-1,1,-1,0,1,1
"2646",0,1,-1,1,-1,0,1,-1
"2647",-1,1,1,1,-1,0,1,-1
"2653",1,1,-1,1,-1,-1,1,-1
"2654",-1,1,-1,1,-1,0,1,-1
"2664",0,1,-1,1,-1,1,1,1
"2670",-1,-1,0,1,-1,0,1,-1
"2671",-1,-1,-1,1,-1,1,1,-1
"2673",0,-1,-1,1,-1,0,1,1
"2676",0,1,-1,1,-1,-1,1,1
"2687",1,1,-1,1,-1,-1,1,-1
"2689",1,1,-1,1,-1,-1,1,1
"2691",1,1,-1,1,-1,1,1,1
"2697",1,-1,-1,1,1,-1,1,1
"2698",-1,-1,-1,-1,-1,0,1,-1
"2699",1,1,-1,1,1,0,1,1
"2706",1,-1,-1,1,-1,0,1,1
"2708",0,-1,-1,1,-1,-1,1,-1
"2710",1,1,-1,1,-1,1,1,1
"2711",-1,-1,-1,1,-1,0,-1,-1
"2712",-1,-1,-1,1,-1,0,1,-1
"2713",-1,1,-1,1,-1,-1,1,-1
"2718",1,1,-1,1,-1,0,1,1
"2721",1,-1,-1,1,1,0,1,1
"2722",0,1,1,1,-1,-1,1,1
"2724",0,1,1,1,-1,1,-1,-1
"2727",0,1,-1,1,-1,-1,1,1
"2731",0,1,1,1,-1,0,1,1
"2734",0,1,1,1,-1,-1,1,1
"2736",0,-1,-1,1,-1,1,1,-1
"2740",1,-1,-1,1,-1,0,1,1
"2742",1,1,-1,1,-1,1,1,1
"2746",1,1,-1,1,-1,1,1,1
"2758",1,1,1,1,-1,-1,-1,1
"2760",0,1,1,-1,-1,1,1,1
"2761",1,-1,-1,1,-1,-1,1,-1
"2765",-1,1,0,-1,-1,0,-1,-1
"2766",-1,1,-1,1,-1,-1,1,-1
"2773",1,1,1,1,1,1,1,1
"2778",-1,1,-1,1,-1,1,1,-1
"2782",0,0,-1,1,-1,0,1,1
"2784",1,1,-1,1,1,1,1,1
"2785",-1,-1,-1,-1,-1,0,1,-1
"2792",1,1,1,1,1,1,1,1
"2794",0,1,-1,1,-1,-1,1,1
"2810",0,1,1,1,-1,0,1,1
"2813",0,1,-1,1,1,1,1,1
"2814",0,0,1,1,-1,1,1,1
"2817",-1,0,-1,1,-1,1,1,-1
"2820",1,1,-1,-1,-1,1,1,1
"2823",1,1,-1,1,-1,-1,1,1
"2830",-1,-1,-1,1,-1,1,1,-1
"2832",0,1,1,1,-1,1,-1,1
"2839",0,1,-1,1,-1,-1,1,1
"2841",0,1,-1,1,-1,1,1,1
"2842",0,1,1,1,1,-1,1,1
"2848",0,-1,-1,1,-1,0,-1,1
"2853",0,1,1,1,-1,1,1,1
"2855",0,-1,-1,1,-1,-1,1,1
"2858",1,-1,-1,1,1,-1,1,1
"2859",0,1,-1,1,-1,1,1,1
"2861",0,1,-1,1,-1,0,1,1
"2862",-1,1,1,1,-1,0,1,-1
"2867",0,1,1,1,-1,1,1,1
"2870",0,1,1,1,-1,0,-1,1
"2874",1,1,-1,1,-1,-1,1,1
"2875",0,-1,-1,-1,-1,-1,1,-1
"2876",-1,-1,-1,-1,-1,0,1,-1
"2882",0,-1,-1,-1,-1,-1,1,-1
"2890",-1,-1,-1,1,-1,0,1,-1
"2891",-1,1,1,1,-1,0,-1,-1
"2899",-1,1,1,1,-1,0,1,-1
"2916",1,1,-1,-1,-1,1,1,1
"2919",1,1,-1,1,-1,1,1,1
"2921",0,-1,-1,1,-1,-1,1,-1
"2923",0,1,-1,1,-1,-1,1,1
"2925",1,1,-1,1,-1,1,1,1
"2926",0,-1,-1,1,-1,-1,1,-1
"2929",-1,-1,-1,1,-1,1,1,-1
"2932",0,-1,-1,1,-1,0,1,-1
"2935",0,-1,-1,-1,-1,-1,1,-1
"2937",0,-1,-1,1,-1,-1,1,-1
"2939",0,1,-1,1,-1,1,-1,1
"2940",0,-1,-1,1,-1,-1,1,-1
"2952",-1,1,1,1,-1,-1,1,-1
"2954",0,-1,-1,1,-1,-1,1,-1
"2956",-1,-1,-1,-1,-1,-1,1,-1
"2957",1,-1,-1,1,1,0,1,1
"2960",0,1,1,1,0,-1,-1,1
"2962",0,1,1,1,-1,0,1,1
"2964",1,-1,-1,1,1,0,1,1
"2967",0,1,-1,1,-1,1,1,1
"2977",1,0,1,1,-1,0,1,1
"2986",0,-1,-1,1,-1,1,1,-1
"2995",-1,1,-1,1,-1,-1,1,-1
"2996",0,1,-1,1,1,-1,1,1
"3001",0,-1,-1,1,1,0,1,1
"3003",-1,-1,-1,1,-1,-1,1,-1
"3010",-1,-1,1,1,-1,0,1,-1
"3021",0,1,1,1,-1,0,1,1
"3022",-1,1,-1,1,-1,0,0,-1
"3027",1,1,-1,1,-1,1,1,1
"3029",-1,1,-1,1,-1,0,1,-1
"3031",0,-1,-1,1,-1,-1,1,-1
"3035",1,0,-1,1,1,0,1,1
"3037",0,-1,-1,1,-1,1,1,1
"3039",-1,1,-1,-1,-1,-1,1,-1
"3040",-1,1,-1,1,-1,0,1,-1
"3042",0,1,-1,1,-1,1,1,-1
"3045",1,-1,-1,1,-1,-1,-1,1
"3046",-1,-1,-1,1,-1,0,-1,-1
"3058",1,1,1,1,-1,0,1,-1
"3064",0,-1,0,1,-1,-1,1,-1
"3067",-1,-1,-1,1,-1,0,1,-1
"3068",-1,1,-1,1,-1,-1,1,-1
"3070",1,0,-1,1,1,-1,-1,1
"3071",0,1,-1,1,-1,1,1,-1
"3075",0,-1,-1,1,-1,-1,1,-1
"3076",-1,1,1,1,-1,0,1,-1
"3077",0,1,-1,1,-1,-1,1,-1
"3078",1,1,-1,1,1,1,1,1
"3079",0,1,-1,1,-1,0,1,-1
"3082",0,1,-1,1,-1,0,1,1
"3084",-1,1,1,1,-1,0,1,-1
"3085",-1,1,-1,1,-1,0,1,-1
"3086",-1,1,-1,-1,-1,-1,1,-1
"3087",0,-1,-1,1,-1,1,1,1
"3090",0,1,-1,1,-1,1,1,1
"3093",1,-1,-1,1,1,-1,1,1
"3095",0,1,-1,1,1,1,-1,1
"3097",-1,-1,-1,1,-1,0,1,-1
"3113",0,1,1,1,-1,0,1,1
"3114",-1,1,1,0,-1,0,1,-1
"3115",0,1,1,1,-1,-1,1,1
"3119",0,1,-1,1,-1,1,1,-1
"3121",0,1,-1,1,-1,-1,1,-1
"3125",-1,1,-1,1,-1,-1,1,1
"3127",0,-1,-1,1,-1,1,-1,1
"3132",-1,1,1,1,-1,-1,1,-1
"3133",1,1,-1,1,-1,1,1,1
"3137",-1,-1,-1,1,-1,-1,0,-1
"3139",-1,-1,1,1,-1,0,-1,-1
"3142",0,-1,-1,-1,0,1,1,1
"3145",0,1,-1,1,-1,1,-1,1
"3147",-1,0,-1,1,-1,-1,1,-1
"3148",-1,-1,-1,1,-1,-1,1,-1
"3154",-1,1,1,1,-1,-1,1,-1
"3155",-1,-1,-1,-1,-1,-1,1,-1
"3156",0,-1,-1,-1,-1,0,0,1
"3157",0,1,-1,1,-1,-1,-1,1
"3159",1,1,-1,1,1,1,1,1
"3161",1,-1,-1,1,-1,0,1,1
"3164",1,1,-1,1,-1,-1,1,1
"3167",0,1,-1,1,-1,0,1,1
"3170",0,1,1,1,-1,1,1,1
"3174",0,1,-1,1,-1,1,1,1
"3179",-1,1,1,1,-1,0,-1,-1
"3181",-1,-1,0,1,-1,0,1,-1
"3182",-1,-1,-1,-1,-1,-1,1,-1
"3184",-1,-1,-1,1,-1,-1,1,-1
"3186",-1,1,1,1,-1,-1,1,-1
"3189",0,1,-1,1,1,-1,1,1
"3191",-1,1,-1,1,-1,-1,1,-1
"3193",-1,-1,-1,1,-1,-1,1,-1
"3200",-1,1,-1,1,-1,0,1,-1
"3203",0,1,-1,-1,1,1,1,1
"3205",0,1,-1,1,-1,-1,1,-1
"3206",0,1,-1,1,-1,1,1,1
"3211",-1,-1,-1,1,-1,0,1,-1
"3214",1,1,-1,1,-1,1,1,1
"3218",1,1,-1,1,-1,0,1,1
"3223",-1,-1,-1,1,-1,-1,1,-1
"3224",-1,1,-1,1,-1,1,1,-1
"3232",1,-1,-1,1,-1,0,1,1
"3233",0,-1,-1,1,-1,0,1,1
"3239",0,-1,-1,1,-1,1,1,-1
"3246",0,1,-1,1,-1,-1,1,-1
"3247",0,1,-1,1,-1,0,1,1
"3249",0,1,-1,1,-1,1,1,1
"3252",0,1,-1,1,-1,-1,1,1
"3253",0,1,0,1,1,1,1,1
"3258",0,1,-1,1,-1,0,1,1
"3261",1,-1,-1,-1,-1,-1,1,1
"3265",0,0,1,1,-1,0,-1,1
"3267",0,1,1,1,-1,-1,-1,-1
"3270",0,-1,-1,1,-1,0,1,1
"3272",0,-1,-1,1,1,0,1,1
"3273",1,1,1,1,-1,-1,1,1
"3280",-1,1,1,1,-1,0,1,-1
"3283",0,-1,-1,1,-1,0,1,1
"3284",-1,-1,-1,1,-1,1,1,-1
"3285",1,1,1,1,1,1,1,1
"3288",-1,-1,-1,1,-1,0,1,-1
"3289",0,1,-1,1,-1,1,1,1
"3291",1,1,-1,1,-1,0,1,1
"3293",0,-1,-1,1,-1,-1,1,-1
"3294",0,1,-1,-1,-1,1,1,1
"3295",0,1,-1,1,-1,1,1,1
"3304",0,-1,-1,1,-1,-1,1,-1
"3305",-1,1,-1,1,-1,-1,1,-1
"3307",-1,1,1,1,-1,0,-1,-1
"3328",0,-1,-1,1,-1,0,1,-1
"3332",-1,1,1,1,-1,-1,1,-1
"3334",0,1,-1,1,-1,1,1,1
"3335",0,-1,-1,1,-1,0,1,-1
"3341",0,1,-1,1,-1,1,-1,1
"3342",0,-1,-1,1,-1,-1,1,-1
"3343",0,1,-1,1,-1,1,1,1
"3345",0,1,-1,1,-1,-1,1,-1
"3347",-1,-1,-1,1,-1,-1,1,-1
"3349",0,1,1,-1,-1,-1,1,1
"3351",-1,-1,0,0,-1,-1,1,-1
"3352",1,1,-1,1,-1,1,-1,1
"3353",-1,1,1,1,-1,0,1,-1
"3355",0,1,-1,1,1,1,1,1
"3358",1,1,-1,1,1,1,1,1
"3361",0,0,-1,1,-1,-1,0,1
"3362",0,1,-1,1,-1,-1,1,-1
"3363",-1,1,-1,1,-1,0,1,-1
"3365",0,1,-1,1,-1,1,1,1
"3372",0,1,1,1,-1,1,-1,-1
"3384",-1,1,-1,1,-1,-1,1,-1
"3397",1,1,-1,1,-1,-1,1,1
"3398",1,1,-1,1,-1,-1,1,1
"3399",1,-1,-1,1,1,0,1,1
"3401",-1,1,-1,-1,-1,0,1,-1
"3402",0,1,-1,1,-1,1,1,1
"3403",0,1,1,1,-1,0,1,1
"3405",0,1,1,1,-1,0,1,1
"3406",0,1,-1,1,-1,0,1,1
"3407",0,1,-1,1,-1,-1,1,1
"3410",0,1,-1,1,-1,0,-1,1
"3411",-1,-1,-1,1,-1,0,-1,-1
"3414",0,-1,-1,1,-1,0,1,-1
"3415",0,1,-1,1,-1,-1,1,-1
"3416",0,1,-1,1,-1,-1,1,1
"3418",0,-1,1,1,-1,-1,1,1
"3419",-1,-1,-1,1,-1,1,1,-1
"3422",0,1,-1,1,-1,-1,1,-1
"3423",-1,1,-1,1,-1,-1,1,-1
"3427",0,-1,-1,1,-1,-1,1,-1
"3433",1,1,1,1,-1,-1,1,1
"3434",0,1,-1,1,1,0,1,1
"3438",-1,-1,-1,-1,-1,0,1,-1
"3441",0,1,1,1,-1,1,1,1
"3444",-1,-1,-1,1,-1,1,1,-1
"3448",0,-1,-1,1,-1,0,1,1
"3449",0,-1,-1,1,-1,0,1,1
"3454",0,-1,-1,1,-1,-1,1,-1
"3465",0,-1,-1,1,-1,1,1,1
"3469",0,1,-1,1,-1,1,1,1
"3471",0,-1,-1,1,-1,0,1,1
"3474",1,1,-1,1,-1,1,1,1
"3475",-1,-1,-1,-1,-1,-1,1,-1
"3476",-1,-1,-1,1,-1,0,-1,-1
"3495",-1,-1,-1,1,-1,-1,1,-1
"3502",0,1,-1,1,-1,-1,-1,1
"3504",0,-1,-1,1,-1,-1,1,-1
"3506",0,1,-1,1,-1,1,1,1
"3509",1,1,-1,1,1,0,-1,1
"3512",0,1,0,1,-1,1,-1,1
"3517",-1,-1,-1,1,-1,-1,1,-1
"3525",0,1,-1,1,-1,-1,1,1
"3528",1,-1,-1,1,-1,-1,1,1
"3531",1,1,-1,1,1,0,-1,1
"3534",0,1,1,1,-1,0,1,1
"3535",0,-1,-1,1,1,1,1,1
"3536",-1,-1,-1,1,-1,0,1,-1
"3542",1,-1,-1,1,-1,1,1,1
"3543",0,-1,-1,1,-1,1,1,1
"3546",1,-1,-1,1,-1,1,1,1
"3547",1,1,-1,1,-1,-1,1,1
"3549",-1,1,1,-1,-1,0,1,-1
"3554",0,-1,-1,1,-1,0,1,1
"3558",0,1,1,1,-1,-1,1,1
"3561",0,1,-1,-1,-1,0,1,-1
"3562",-1,-1,0,1,-1,-1,1,-1
"3565",0,1,-1,1,-1,1,0,1
"3566",0,1,-1,1,-1,-1,1,1
"3567",0,-1,-1,1,1,-1,1,1
"3573",-1,-1,-1,1,-1,-1,1,-1
"3575",-1,1,-1,1,-1,0,1,-1
"3580",-1,1,-1,1,-1,0,1,-1
"3583",1,-1,-1,1,-1,-1,1,1
"3586",0,-1,0,-1,-1,-1,1,-1
"3587",0,1,-1,1,-1,-1,1,1
"3595",0,1,-1,1,-1,-1,1,1
"3599",0,1,1,1,-1,0,1,1
"3600",0,-1,1,1,-1,1,1,1
"3601",0,0,-1,1,-1,1,1,1
"3602",1,-1,1,-1,1,1,1,1
"3603",-1,1,-1,1,-1,0,1,-1
"3607",0,1,-1,1,-1,1,1,1
"3608",-1,1,-1,1,-1,-1,1,1
"3610",0,1,-1,1,-1,1,1,1
"3612",0,1,-1,1,-1,-1,1,-1
"3618",1,1,-1,-1,-1,-1,1,1
"3620",1,1,-1,1,1,1,1,1
"3622",-1,1,-1,-1,-1,-1,1,-1
"3633",-1,1,-1,1,-1,0,1,-1
"3634",1,1,-1,1,-1,-1,1,1
"3637",1,1,-1,1,1,-1,-1,1
"3640",0,1,-1,1,-1,1,1,1
"3649",0,1,-1,-1,-1,-1,1,-1
"3652",0,1,1,1,1,1,1,1
"3653",-1,1,-1,1,-1,0,1,-1
"3661",0,1,-1,1,-1,1,1,1
"3663",0,1,-1,1,-1,-1,1,-1
"3668",-1,-1,-1,1,-1,-1,1,-1
"3669",-1,1,-1,-1,-1,0,1,-1
"3671",0,1,-1,1,-1,0,1,1
"3672",0,1,1,1,-1,-1,1,1
"3673",0,1,-1,1,-1,1,1,1
"3676",0,-1,-1,1,-1,-1,1,-1
"3678",-1,1,1,1,-1,-1,1,-1
"3681",1,1,-1,1,-1,0,1,1
"3690",0,-1,-1,1,-1,0,1,1
"3692",0,1,-1,1,-1,-1,1,-1
"3694",0,1,-1,1,-1,-1,1,1
"3699",-1,-1,-1,1,-1,0,1,-1
"3702",0,1,-1,1,-1,-1,1,-1
"3704",-1,-1,-1,-1,-1,-1,1,-1
"3709",-1,-1,1,0,-1,-1,1,-1
"3712",0,-1,-1,1,-1,-1,1,-1
"3719",0,-1,-1,1,-1,0,1,-1
"3723",-1,-1,-1,1,-1,0,-1,-1
"3724",0,1,1,1,1,-1,1,1
"3725",0,1,-1,1,1,1,-1,1
"3731",0,1,-1,1,-1,-1,1,1
"3738",0,1,1,1,-1,1,1,1
"3747",0,1,-1,1,-1,0,1,1
"3748",0,1,-1,1,-1,-1,1,1
"3750",1,1,1,1,-1,1,1,1
"3751",0,-1,-1,0,-1,1,-1,1
"3760",0,1,1,1,-1,1,1,1
"3763",0,-1,-1,1,-1,0,-1,1
"3767",1,1,-1,1,1,-1,1,1
"3770",0,1,-1,1,-1,0,1,-1
"3772",0,1,-1,1,-1,-1,1,-1
"3774",0,-1,-1,1,-1,-1,1,-1
"3783",0,-1,-1,1,-1,-1,1,1
"3789",0,1,-1,1,-1,-1,1,1
"3791",-1,-1,1,1,-1,0,1,-1
"3794",-1,-1,-1,1,-1,0,1,-1
"3800",1,1,-1,1,-1,-1,1,1
"3804",-1,-1,-1,1,-1,-1,1,-1
"3805",1,-1,-1,1,-1,-1,1,1
"3808",-1,-1,-1,1,-1,-1,1,-1
"3811",0,1,-1,1,-1,-1,1,1
"3815",0,1,-1,1,-1,-1,1,-1
"3822",0,1,1,1,-1,-1,0,1
"3823",-1,-1,-1,1,-1,1,1,-1
"3824",1,1,-1,1,1,1,1,1
"3826",0,1,-1,1,-1,-1,1,-1
"3828",0,1,1,1,-1,0,1,1
"3829",1,-1,-1,1,-1,1,1,1
"3835",-1,1,-1,1,-1,0,1,-1
"3839",-1,1,-1,1,-1,0,1,-1
"3844",1,-1,-1,1,1,1,1,1
"3848",-1,-1,-1,0,0,0,1,-1
"3849",0,1,1,1,-1,-1,1,1
"3850",0,-1,1,1,-1,0,1,-1
"3855",-1,1,-1,1,-1,0,-1,-1
"3857",0,1,-1,1,-1,-1,1,-1
"3860",1,1,-1,1,1,1,1,1
"3865",0,-1,-1,1,-1,0,0,1
"3866",-1,1,-1,1,-1,-1,1,-1
"3870",-1,0,1,1,-1,-1,1,-1
"3871",0,1,-1,1,-1,-1,1,-1
"3876",0,1,-1,1,-1,-1,1,-1
"3878",0,-1,-1,1,-1,-1,1,-1
"3879",1,1,-1,1,1,0,1,1
"3882",-1,1,-1,1,-1,-1,1,-1
"3883",0,1,-1,1,-1,1,1,1
"3885",0,1,-1,1,-1,0,1,1
"3886",1,1,1,1,1,0,1,1
"3888",0,1,-1,1,1,-1,1,1
"3892",1,1,-1,1,-1,1,1,1
"3897",0,-1,-1,1,-1,1,1,1
"3899",0,1,-1,1,-1,-1,1,1
"3901",0,1,-1,1,-1,0,1,1
"3915",0,1,1,1,-1,1,-1,-1
"3916",0,1,-1,1,-1,0,1,1
"3925",0,1,1,1,1,-1,1,1
"3928",-1,1,-1,1,-1,-1,1,-1
"3932",-1,-1,0,1,-1,0,1,-1
"3944",-1,-1,-1,1,-1,-1,1,-1
"3946",0,1,-1,1,-1,-1,1,1
"3950",0,1,0,1,-1,-1,1,-1
"3955",-1,1,-1,1,-1,0,1,-1
"3956",1,-1,-1,0,-1,0,1,1
"3960",1,1,-1,1,-1,0,1,1
"3961",0,-1,-1,1,-1,0,1,-1
"3965",1,1,1,1,-1,-1,1,1
"3966",-1,1,-1,1,-1,-1,1,-1
"3982",0,-1,-1,1,-1,-1,1,1
"3986",1,1,-1,1,-1,1,0,1
"3987",-1,1,-1,1,-1,-1,-1,-1
"3992",-1,-1,-1,1,-1,1,1,-1
"3993",1,1,-1,1,-1,-1,1,1
"3999",-1,1,1,1,-1,-1,1,-1
"4000",0,1,1,1,-1,-1,-1,1
"4003",0,1,-1,1,-1,1,1,1
